Отчёт по добавленным адресным объектам за 05.07.2024
--------------------------------------------------------------------------------

Элемент планировочной структуры
--------------------------------------------------------------------------------
Тип объекта	Наименование
кв-л		0040230-1
кв-л		0080402-1
кв-л		060602
кв-л		16
кв-л		27
кв-л		28
тер.		3
кв-л		30
кв-л		36:01:0720022
кв-л		46-26
кв-л		56
км		61-й
кв-л		69
тер.		№ 6
тер.		автодорога М-4 Дон
тер.		автодороги Ольгинская-Волгодонск
тер.		Автокомплекс
тер. ПК		Автолайн
тер.		Автомагистрали М-4 Дон
тер.		Автомобильная дорога М-12 Восток
тер.		автоподъезд Ура-Губа
тер. СНТ		Агропарк Добрый
тер. СНТ		Азовсталец-2
сквер		Александра Иванчикова
тер. СНТ		Багульник
тер.		база отдыха "Фазенда"
мр.		Березовское
тер.		Берсеневка-2
тер.		Большеусинская 4
тер.		Буркудук
тер. ПК		Вечерний
тер.		Волковейка
тер. СНТ		Восход
тер.		Воткинская
тер.		гаражный кооператив Искра
сквер		генерала Свиклина
тер. СНТ		Горняк
тер. СНТ		Горняк
тер.		ГСК Агролеспром
тер.		ГСК Блок-8
тер.		ГСК Брасток
тер.		ГСК Братскстройкомплект
тер.		ГСК Волна
тер.		ГСК Геофизик
тер.		ГСК Железнодорожник
тер.		ГСК Комплектовщик-1
тер.		ГСК Комплектовщик-2
тер.		ГСК Крот
тер.		ГСК Лада-1
тер.		ГСК Локомотив
тер.		ГСК ЛПК-122
тер.		ГСК Монолит-2
тер.		ГСК Монтажник-2
тер.		ГСК Пурсей-1
тер.		ГСК Радиатор
тер.		ГСК Радуга
тер.		ГСК Ракета
тер.		ГСК Ритм
тер.		ГСК Строитель-2
тер.		ГСК Строймонтаж
тер.		ГСК Стэмовец
тер.		ГСК Тэмп
тер.		ГСК Тэнга
тер.		ГСК Феникс
тер.		ГСК Шанс
тер.		ГСК Южный
тер.		ГСК Южный-1
тер.		Депо
тер.		ДНТ Ханхой
тер. СНТ		Дружба
тер. СНТ		Дружба
тер.		Дружба
тер. СНТ		Дружба
тер.СОСН		Дружба
тер. СНТ		Думка
тер. СНТ		Дунайка
тер. СНТ		Ёлочка
тер.		Ерденевское поле
тер.		Железнодорожная
тер.		залив Сенной
тер.		Звезда
тер.		Зелёновская
тер.		Золотая гора
тер. СНТ		Ива
тер.		Иващенково
сквер		имени Стриго Василия Венедиктовича
тер.		Исакшур
ост-в		Итуруп
тер. СНТ		Калинка
тер. СНТ		Кедр
тер.		Кипрево
тер.		Клубника
ул.		Колхозная
тер. СНТ		Коммунальник
тер. СНТ		Коммунальник
тер.		кооператив Обогатитель
тер.		кооператив Прогресс
тер.		Кропоткинская
кв-л		Курилово 1
тер. СНТ		Ладога
тер. СНТ		Лазурный-1
тер. СНТ		Ландыш
тер.		Лесная сказка
кв-л		Летний
тер. СНТ		Лощинка
тер. СНТ		Машиностроитель
тер. СНТ		Медик
тер. СНТ		Металлург
тер. СНТ		Металлург-5
тер. ТСН		Молодость
тер. СНТ		Моргудон
тер. СНТ		Морозко
тер.		Мухлыги
тер. СНТ		Мыс Неприступный
тер.		Нагорная
тер.		Нагорная 2 СилСиб
тер. СНТ		Надежда
тер. СНТ		Надежда
тер. СНТ		Надежда
тер. СНТ		Наука
тер.		Нижний пруд
тер.		Новый век
парк		Огненная Саламандра
тер. СНТ		Огородник
тер. СНТ		Одуванчик-2
тер. СНТ		ОК Мелиоратор-2
тер. СНТ		Ольховое №4
тер.		Орловская-2
сквер		Отрядов мэра
тер.		ОТФ № 22
тер.		пансионат Поляны
тер.		ПГВСК Маяк
тер.		переработки
тер.		Перчата
тер. СНТ		Пилот
тер.		Пирогово-1
тер.		Пляжная
ост-в		Подъеланский
тер. СНТ		Полиграфист
тер.СОСН		Поляны
тер.		Привокзальная
мкр.		Прилук
тер.		Производственная
тер.		производственная (Сюга-Какси)
тер.		Промысловая
тер.		Промышленная зона 016001
тер. СНТ		ПТУ-22
тер.		Рабочая
тер. СНТ		Радужное
тер. СНТ		Ранетка
тер. СНТ		Рассвет
кв-л		Ровный
тер. СНТ		Родник-1
тер. СНТ		Родник-2
тер. СНТ		Роща
кв-л		Рублёвка Акватория
ф/х		Русский фермер
тер. СНТ		Рябина
тер.		Садоводов
тер.		Сбоево-1
тер.		Северо-Восточная
тер.		Селиба
тер.		Сельская-1
тер. СНТ		Семья
тер. СНТ		Сирень
тер.		Скачихинская
тер.		СНТ Автомобилист-Дубки
тер.		СНТ Бином-Дубки
тер.		СНТ Верховина
тер.		СНТ СН Сигнал
тер. ТСН		СНТ Съемщик
тер.		СНТ Экспресс-Дубки
тер. СНТ		Сопка Солнечная
мкр.		Сосновый бор
тер.		СОТ Металлист
тер.		СОТ Нефтяник
тер. СНТ		Сплавщик-2
тер. СНТ		Сталь-1
тер.		Станционная 1
мр.		Степной рудник
тер. СНТ		Строитель
тер. СНТ		Строитель
тер. СНТ		Строитель-2
тер. СНТ		Строитель-4
тер. СНТ		Строительный
мр.		Табынское
тер.		Трубинская
тер. СНТ		Труд
тер. СНТ		Труд
тер. СНТ		Тюльпан
тер. СНТ		Урожай-2
тер.		урочище Киси унуога
ост-в		Уруп
тер.		Уса
тер. СНТ		Учитель
тер. СНТ		Уют
тер.		Хар-Зуха
тер. СНТ		Химик
тер. СНТ		Черемшина Краснодон
тер. СНТ		Черемшина-1
тер. СНТ		Эхо
мкр.		Южный
тер.		Юрчимская
тер.		Ючмерская
тер.		Ядринская
тер. СНТ		Ясные зори
--------------------------------------------------------------------------------

Элемент улично-дорожной сети
--------------------------------------------------------------------------------
Тип объекта	Наименование
км		1009-й
км		1043-й
км		104-й
ул.		10-я Озерная
км		112-й
км		116-й
ул.		14-я линия
ул.		17-я линия
ряд		1-й
пр-д		1-й Водолейный
пер.		1-й Декабристов
пр-д		1-й Звёздный
пр-д		1-й Тополиный
ул.		1-й участок
ул.		1-я линия
ул.		1-я линия
ул.		1-я Новостройка
ул.		1-я Тепличная
ул.		1-я Южная
пр-д		2-й Азовский
пр-д		2-й Атаманский
пр-д		2-й Водолейный
пер.		2-й Декабристов
пр-д		2-й Есаульский
пр-д		2-й Звёздный
пр-д		2-й Никольский
пр-д		2-й Тополиный
ул.		2-ой подъем
ул.		2-я
ул.		2-я Дальняя
ул.		2-я Крайняя
ул.		2-я линия
ул.		2-я линия
ул.		2-я линия
ул.		2-я Линия
ул.		2-я Тепличная
ул.		2-я Южная
пр-д		3-й Водолейный
пр-д		3-й Звёздный
пр-д		3-й Тополиный
ул.		3-й участок
ул.		3-я линия
ул.		3-я Тепличная
ул.		3-я Южная
км		403-й
пр-д		4-й Звёздный
ул.		4-я Дачная
ул.		4-я линия
ул.		4-я линия
ул.		4-я Тепличная
ул.		50 лет Октября
ул.		50 лет Победы
км		581-й
пр-д		5-й Огнеборцев
км		618-ый
км		637-й
пр-д		6-й Огнеборцев
ул.		6-я линия
ул.		7-я линия
ул.		8-я Полевая
км		911-й
ул.		9-я линия
ул.		Абакумова
ул.		Абрикосовая
ул.		Авангардная
ул.		Аделя Кутуя
ул.		Айвовая
ул.		Александра Боброва
ул.		Алексея Куликова
ул.		Алексинская
ул.		Альфии Авзаловой
ул.		Амирхана Еники
ул.		Андрея Приказнова
ул.		Аптечная
ул.		Асфальтная
ул.		Асхата Галимзянова
ул.		Ахмади Максуди
ул.		Аяза Гилязова
ул.		Баки Урманчы
ул.		Балтийская
пер.		Беловежский
ул.		Белозерская
ул.		Беляева
ул.		Березовая
ул.		Благодатная
ал.		Ближнее Хиилисуо
ул.		Богатая
пл.		Богатырская
ул.		Богатырская
пер.		Богдана Хмельницкого
ул.		Богдана Хмельницкого
ул.		Боевая
ул.		Боткина
ул.		Ботыжная
ул.		Бульварное кольцо
ул.		Васильковая
ул.		Васильковая
ул.		Васильковая
ул.		Венгеровская
ул.		Вербная
ул.		Верхняя
ул.		Веселая
ул.		Весенняя
ул.		Весенняя
пл.		Ветеранов Великой Отечественной Войны
ул.		Видная
ул.		Виноградная
ул.		Вишневая
ул.		Вишневая
ул.		Вишневая
ул.		Вишневая
пл.		Вокзальная
ул.		Воронежская
ул.		Воронцовская
ул.		Восточная
ул.		Восточная
пер.		Восточный
ул.		Вторая
ул.		Вторая
ул.		Выборная
ул.		Высоцкого
ул.		Вязевая
пер.		Вязниковский
ул.		Габдуллы Тукая
ул.		Газинура Гафиятуллина
ул.		Галиасгара Камала
ул.		Галимджана Баруди
ул.		Галимджана Ибрагимова
ул.		Гаражная
пер.		Гастелло
ул.		Георгиновая
ул.		Германа Гутько
ул.		Героев
ул.		Героев Специальной Военной Операции
ул.		Героя Труда Еременко
ул.		Глинки
пер.		Глинки
ул.		Гоголя
ул.		Голенева/Орджоникидзе
ул.		Голландская
ул.		Горная
пер.		Горького
ул.		Гранатовая
ул.		Грибная
ул.		Грибная
ал.		Дальнее Хиилисуо
пер.		Дальний
ул.		Данковская
ул.		Дачная
ул.		Дачная
ул.		Дмитрия Мельниченко
ул.		Донбассовская
ул.		Донская
ул.		Донская-6
ул.		Доровская
ул.		Дорожная
ул.		Дорожников
пер.		Дорожный
ул.		Дружбы
ул.		Дружбы
ул.		Дружбы
ул.		Дружная
ул.		Дружная
ул.		Дубовая
ул.		Евгения Селютина
ул.		Егошихинская
ул.		Екатеринбургская
ул.		Елатомская
ул.		Еловая
ул.		Жданова
ул.		Жемчужная/Жасминная
ул.		Заводская
ул.		Западная
ул.		Запрудная
ул.		Звездная
ул.		Зекарьи Шамарова
ул.		Зеленая
ул.		Зеленая
ул.		Зеленая
туп.		Зелёный
ул.		Изумрудная
ул.		Ильхама Шакирова
ул.		Им. М.П. Бастицкого
ул.		Имени В.М. Пескишева
ул.		Имени историка О.В. Севрюкова
ул.		Имени М.Е. Зыкова
пл.		имени Терентия Семеновича Мальцева
ул.		Ирисовая
ул.		Кавалерийская/Веры Кащеевой
туп.		Кавказский
ул.		Казакова/Ким
ул.		Калинина
пер.		Камский
ул.		Кантемирова
ул.		Капитана Владыкина
ул.		Карима Тинчурина
ул.		Катальповая
ул.		Каховская
ул.		Кашифа Тумашева
ул.		Каштанова
ул.		Каюма Насыри
пер.		Квартальный
ул.		Кедровая
ул.		Кедровая
ул.		Киевская
пер.		Кирова
пер.		Клары Цеткин
ул.		Клевера
ул.		Клубничная
ул.		Клубничная
ул.		Ключевая
ул.		Княжеская
ул.		Козловская
ул.		Комарова
ул.		Коношенко
ул.		Королева
ул.		Котовского
ул.		Красноармейская
ул.		Краснодонская
ул.		Краснофлотская
пер.		Крестьянский
ул.		Круизная
ул.		Кудринская
ул.		Кузнечная
ул.		Куйбышева
ул.		Кунгурская
ул.		Купеческая
ул.		Курганная
ул.		Курская
ул.		Курчатова
ул.		Кутузова
пер.		Кутузова
ул.		Лабазная
пл.		Ленина
пр-д		Ленинградский
